state,nomarkets,NoCredut,Credit,nowic,wic,wiccash,nowiccash,nosfmnp,sfmnp,nosnap,snap
Alabama,141,90,51,127,14,7,134,79,62,116,25
Alaska,38,19,20,24,15,8,31,27,12,30,9
Arizona,89,21,70,56,35,35,56,58,33,53,38
Arkansas,105,59,48,86,21,11,96,89,18,84,23
California,750,353,407,389,371,125,635,446,314,432,328
Colorado,156,59,99,150,8,6,152,155,3,102,56
Connecticut,153,100,56,113,43,20,136,115,41,134,22
Delaware,35,11,26,31,6,0,37,37,0,20,17
District of Columbia,57,9,48,9,48,34,23,12,45,11,46
Florida,254,88,170,236,22,9,249,241,17,209,49
Georgia,155,46,111,145,12,10,147,150,7,110,47
Hawaii,98,42,56,98,0,0,98,67,31,58,40
Idaho,63,36,28,63,1,0,64,63,1,49,15
Illinois,332,152,184,291,45,20,316,285,51,252,84
Indiana,189,66,126,115,77,41,151,124,68,126,66
Iowa,228,146,83,149,80,49,180,148,81,181,48
Kansas,116,60,57,114,3,2,115,68,49,90,27
Kentucky,122,59,72,79,52,14,117,72,59,91,40
Louisiana,80,34,49,69,14,2,81,37,46,60,23
Maine,94,37,59,57,39,24,72,77,19,53,43
Maryland,158,55,107,54,108,53,109,72,90,116,46
Massachusetts,316,106,216,144,178,73,249,138,184,166,156
Michigan,330,126,215,185,156,20,321,176,165,177,164
Minnesota,193,101,96,158,39,19,178,166,31,142,55
Mississippi,82,45,38,70,13,4,79,60,23,56,27
Missouri,255,85,172,256,1,1,256,256,1,212,45
Montana,68,31,39,57,13,12,58,58,12,53,17
Nebraska,101,62,41,85,18,4,99,56,47,90,13
Nevada,37,12,27,36,3,2,37,18,21,25,14
New Hampshire,96,38,58,87,9,6,90,90,6,64,32
New Jersey,148,66,84,102,48,35,115,108,42,122,28
New Mexico,70,27,43,21,49,8,62,19,51,38,32
New York,665,272,399,287,384,256,415,313,358,388,283
North Carolina,246,89,164,214,39,15,238,215,38,199,54
North Dakota,66,57,9,66,0,0,66,66,0,62,4
Ohio,331,151,187,251,87,43,295,264,74,245,93
Oklahoma,71,47,24,63,8,5,66,55,16,55,16
Oregon,165,62,107,72,97,66,103,83,86,76,93
Pennsylvania,305,150,158,213,95,21,287,202,106,223,85
Puerto Rico,9,0,42,42,0,35,7,7,35,42,0
Rhode Island,35,3,33,9,27,26,10,8,28,12,24
South Carolina,134,72,62,105,29,24,110,99,35,105,29
South Dakota,40,23,17,40,0,0,40,38,2,31,9
Tennessee,128,48,80,123,5,3,125,120,8,89,39
Texas,206,76,139,194,21,19,196,202,13,170,45
Utah,42,18,25,42,1,0,43,42,1,26,17
Vermont,89,23,70,58,35,25,68,65,28,41,52
Virgin Islands,4,4,178,4,0,0,4,4,0,4,0
Virginia,255,81,178,252,7,4,255,229,30,171,88
Washington,170,32,139,56,115,32,139,54,117,71,100
West Virginia,86,48,45,60,33,24,69,36,57,61,32
Wisconsin,295,160,148,166,142,58,250,188,120,225,83
Wyoming,44,20,28,48,0,0,48,47,1,44,4
